"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,";"buzzardLabel";12;"";;;
2;"R3";"0402R";1;"2k2";;;
3;"JP2";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
4;"D1";"0402LED";1;"purple";;;
5;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
6;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
7;"Ref**";"Version1.0.0.";1;"Val**";;;
8;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
9;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
10;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
11;"R1,R2";"0603R";2;"10k";;;
12;"K1";"TERMINAL_KF235-5.0-2P";1;"TERMINAL_KF235-5.0-2P";;;
13;"JP1";"SMD_JUMPER_3_PAD_TRACE";1;"SMD_JUMPER_3_PAD_TRACE";;;
14;"K4,K2";"easyC-connector";2;"easyC-SMD";;;
15;"C2,C1";"0603C";2;"100nF";;;
16;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
17;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
18;"U1";"MCP47A1-SOT23-6";1;"MCP47A1";;;
19;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
